timestamp,token0,token1,buyDex,sellDex,spread,volume,profit,gas,netProfit,flashLoanFee
1756671171145,WETH,USDC,sushiswap,uniswapV2,88.5,100000,12937366.374067,45,-89999987062678.62,90
1756671171145,WETH,USDC,shibaswap,uniswapV2,99.89,100000,14602322.928626,45,-89999985397722.08,90
1756671171146,WETH,USDC,shibaswap,sushiswap,99.06,100000,1664956.554559,45,-89999998335088.45,90
1756671171526,WETH,USDT,sushiswap,uniswapV2,96.83,100000,35199965.051561,45,-89999964800079.95,90
1756671171527,WETH,USDT,shibaswap,uniswapV2,99.89,100000,36315133.267613,45,-89999963684911.73,90
1756671171528,WETH,USDT,shibaswap,sushiswap,96.8,100000,1115168.216052,45,-89999998884876.78,90
1756671171916,WETH,DAI,sushiswap,uniswapV2,18.06,100000,1332131.4078713364,45,1331996.4078713364,90
1756671171917,WETH,DAI,shibaswap,uniswapV2,99.9,100000,7367556.501644471,45,7367421.501644471,90
1756671171917,WETH,DAI,shibaswap,sushiswap,99.88,100000,6035425.093773135,45,6035290.093773135,90
1756671172355,WETH,WBTC,uniswapV2,sushiswap,52.82,100000,89.52607312,45,-899999999955.4739,90
1756671172355,WETH,WBTC,shibaswap,uniswapV2,99.43,100000,79.51000256,45,-899999999965.49,90
1756671172355,WETH,WBTC,shibaswap,sushiswap,99.73,100000,169.03607568,45,-899999999875.9639,90
1756671172859,WETH,LINK,sushiswap,uniswapV2,9.84,100000,5768.614043442737,45,5633.614043442737,90
1756671172859,WETH,LINK,shibaswap,uniswapV2,98.1,100000,57471.59918682747,45,57336.59918682747,90
1756671172860,WETH,LINK,shibaswap,sushiswap,97.89,100000,51702.98514338473,45,51567.98514338473,90
1756671173280,WETH,UNI,sushiswap,uniswapV2,93.73,100000,286838.9553857452,45,286703.9553857452,90
1756671173281,WETH,UNI,shibaswap,uniswapV2,97.95,100000,299772.4046817296,45,299637.4046817296,90
1756671173281,WETH,UNI,shibaswap,sushiswap,67.43,100000,12933.449295984416,45,12798.449295984416,90
1756671173719,WETH,AAVE,sushiswap,uniswapV2,13.16,100000,43.84179617393119,45,-91.15820382606881,90
1756671173719,WETH,AAVE,shibaswap,uniswapV2,99.99,100000,333.10745502677935,45,198.10745502677932,90
1756671173720,WETH,AAVE,shibaswap,sushiswap,99.99,100000,289.2656588528481,45,154.26565885284813,90
1756671174159,WETH,MKR,sushiswap,uniswapV2,72.89,100000,421.09069171164396,45,286.09069171164396,90
1756671174159,WETH,MKR,shibaswap,uniswapV2,99.99,100000,577.667379341899,45,442.66737934189905,90
1756671174160,WETH,MKR,shibaswap,sushiswap,99.98,100000,156.57668763025512,45,21.576687630255122,90
1756671174547,WETH,SNX,sushiswap,uniswapV2,69.16,100000,121112.30614434382,45,120977.30614434382,90
1756671174547,WETH,SNX,shibaswap,uniswapV2,98.37,100000,172258.2113535155,45,172123.2113535155,90
1756671174547,WETH,SNX,shibaswap,sushiswap,94.73,100000,51145.9052091717,45,51010.9052091717,90
